twc,06H,06V,10H,10V,19H,19V,37H,37V
5.0,228.24250441200877,268.9108435599198,235.28457239308838,269.70592603640523,242.82017966435586,269.82234066344967,247.08578101627987,269.756262609247
6.666666666666667,222.16855301768004,268.52890492563193,230.1252887415911,268.64521212142876,239.65254387148798,269.1303847376046,245.19948695448284,269.61655331658767
8.333333333333334,215.98938469045498,267.00047294309974,224.80876009947104,266.6864101162834,236.06763701213023,267.5899494088614,243.21457366282507,269.12883092897397
10.0,207.4477186136673,265.60353065848375,219.81193870838806,264.4579780949837,232.55167409175297,265.79336183130306,240.82092202506988,268.01240993140397
11.666666666666668,201.50296334093554,263.61444179156894,211.46450274408562,263.2157475522988,229.00583820321708,263.67719299110274,238.67347695298577,266.9765851487369
13.333333333333334,196.1713140406694,261.228427400242,206.66909310239467,261.0213691294628,225.4918246741696,261.3524280265024,236.4716799997572,265.73131351410586
15.0,191.07174210051122,258.8449343958836,201.84439776637703,258.44649075087926,222.06164282636504,258.9030623243846,234.21979302420254,264.3146462723967
16.666666666666668,186.40000944642244,256.73244859420555,197.75467635843566,255.96956678366192,218.50732321536705,256.14621353895745,231.9707168972996,262.7712247751706
18.333333333333336,182.0276419624486,253.93740656864364,193.41512408218702,253.43800970847957,210.8982158550711,255.72637362138823,229.70244783952586,261.11832903589874
20.0,177.86289860525363,251.3907058451693,189.58985619677222,251.14784469344983,207.5232140600041,253.64696651839662,227.4528862933407,259.38777872211915
