site,twc,06H,06V,10H,10V,19H,19V,37H,37V
aws11,8.333333333333334,205.80637282913744,263.94061573734797,215.91902324351372,262.7622553726742,226.09706904292423,263.83871073421125,232.72053932626562,266.0202406760323
aws11,10.0,200.21915546625644,262.21516142899554,208.71243100528835,261.93518387339964,223.42902475311183,262.38746418212287,231.14630994492595,265.39824858287216
aws11,11.666666666666668,195.2672172614124,260.5105826410764,204.6152794044436,260.329974382146,220.69141361247378,260.6270972186073,228.8933189779728,263.88696013713684
aws11,13.333333333333334,190.38928576460694,258.23667546104963,200.07245661347363,258.07575667383065,217.9834999401315,258.6731957882495,227.2393149800547,262.8834883878802
aws11,15.0,186.05514378391365,256.6959002217062,196.46047422325537,256.0357618646039,211.02069703527104,258.0625932743756,225.56870305217228,261.7272150124221
aws11,16.666666666666668,181.74622742205028,253.9999885623312,192.4166401017958,253.61681543716153,208.30221509915003,256.357922773808,223.840578599917,260.4256549867133
aws11,18.333333333333336,177.73422691351774,251.48974932317458,188.8652001297544,251.74828894905832,204.94781473318412,254.1983004595623,222.10991166672048,259.02027126975645
aws11,20.0,174.01386433853818,249.96879098423312,185.39550633153564,248.93584880951065,201.92574713753277,251.72483929279886,220.38853497966647,257.5337963050983
aws5,0.0,185.5578190098061,222.91004340639097,189.9711934725825,225.70402612063415,190.76338876237855,223.16988226180203,198.0797420947211,228.04764018581366
aws5,0.01,186.73423586886742,224.00322340195333,192.18320717021086,227.83825691752315,194.75402038774862,227.35929810265708,204.73531451905023,235.47754050268196
aws5,0.02,187.99865875617937,225.045635766253,193.9673024682832,229.37036683499238,197.2563277661488,229.7970440164161,206.912902199252,237.79179401920638
aws5,0.03,189.2121292100959,226.05345241295052,195.64393149274514,230.821075250686,199.28706261243823,231.74679922747129,208.88436417963774,239.88991164918042
aws5,0.04,190.37710832245918,227.02793137463593,197.22055394202658,232.19546957536096,201.40129615821957,233.82355234644805,210.67421204848372,241.7982992136009
aws5,0.05,191.49586691798905,227.97028990913142,198.70397134985444,233.49823707839658,203.34424627843276,235.74012230261874,212.30264948310125,243.5383746350749
aws5,0.06,192.57052205619584,228.88170442784408,200.100418299634,234.73371535199524,205.13212511632156,237.51159223475858,213.78679967914474,245.12809351520457
aws5,0.07,193.6030603690045,229.76331071693178,201.4156319176305,235.9059302995119,206.77918732843128,239.1511157814146,215.14143609408302,246.5828361392378
aws5,0.08,194.5953540719009,230.6162043656545,202.17608874278392,236.4768886807323,208.03059314217623,240.37337098553846,216.37945538810882,247.91596601642686
aws5,0.09,195.54917267634121,231.4414413659922,203.359769699919,237.55127786406487,209.4449671035922,241.79649100757547,217.51220720526908,249.13920870106378
aws5,0.1,196.4661920458458,232.24003885744094,204.476410397347,238.5722741369004,210.7519548271043,243.1181354739523,217.54817302151847,249.19976144150277
aws5,0.11,197.14837264310876,232.7811319321482,205.53023886688467,239.54293924878328,211.96068821434824,244.3466480695463,218.55504583683552,250.29298789413812
aws5,0.12,198.0004883732222,233.5340447562075,206.52518177591182,240.46613471060664,213.07940682153267,245.4895589933288,219.48044984428776,251.30066851581353
aws5,0.13,198.82025020103652,234.2630420774533,207.4648894680606,241.34453701328587,214.11556290497705,246.55368515244894,220.33170969657237,252.2303634074758
aws5,0.14,199.60902461642974,234.96899755841872,208.35275834637585,242.1806514152367,215.07591045989275,247.54521370324383,221.11540232110144,253.08886489984585
aws5,0.15,200.36811213797398,235.6527510494766,209.19195101652903,242.9768244959184,215.9665815715379,248.46977272263925,221.83744608687388,253.8822905997633
