,06H,06V,10H,10V,19H,19V,37H,37V,weight,drysp,depth
50,188.68034169934228,227.45014696434507,192.61769336053757,230.2994920601926,201.7714640882752,235.00681337510937,216.70284677862585,239.13482512350168,7,1,1.2000000000000002
51,188.93027569929947,227.71558040787164,192.88333069738542,230.58380994590235,200.81546701223462,233.93354537761695,216.01337514158476,238.37898413314676,7,1,1.3
52,189.17315269519517,227.97248242808578,193.13135770877503,230.84663575899725,199.92125643252237,232.90316499160411,215.73761354601194,238.08040676677143,7,1,1.4000000000000001
53,189.44755878163008,228.271719368422,193.37513804886754,231.10506337388978,199.12762749137107,231.97814106022471,215.61843731994136,237.95223529575233,7,1,1.5
54,189.6330364371173,228.2603165115051,193.5864276952095,231.17487444166053,198.40164281772218,231.1223242539924,215.56330451465683,237.893126558086,7,1,1.6
55,189.90309951808055,228.50723353214627,193.61409896398993,231.13487390704668,197.10533852836951,229.57751115368393,214.42008095590063,236.6699335013254,7,1,1.7000000000000002
56,190.1494966865671,228.774725088289,193.660677123317,231.17690884624614,196.06688721306958,228.3523282229554,215.00597292285343,237.2968304885449,7,1,1.8
57,190.4827880265341,228.92156138859792,193.80506433035538,231.201906750919,195.23846895419183,227.3782483257424,215.2729248915131,237.58243458715495,7,1,1.9000000000000001
58,190.7415323911049,229.17442202371953,193.6764270141173,231.01180866435013,194.18862890403202,226.1292650410148,215.27282171763258,237.58232420677083,7,1,2.0
59,191.68170469370344,229.9945614598814,192.97665358013188,230.07744133422068,191.7055458367234,223.20629228087404,215.27282171763258,237.58232420677083,7,1,2.4
60,192.88755164984278,230.95705917680087,192.01351237303237,228.8000962203568,190.74098737997411,222.09000994855484,215.27282171763258,237.58232420677083,7,1,2.8
61,192.91461374949648,230.81188519148276,190.36667167951262,226.7824788687084,189.93800776180737,221.2088137182049,215.24499914872382,237.5747540451326,7,1,3.2
62,193.02856737586282,231.22200831533453,189.12055415160486,225.37210180878904,190.2980869900047,221.58473657045892,215.27282171763258,237.58232420677083,7,1,3.6
63,192.66301670200713,230.776838778669,187.65748698382137,223.62321078964112,189.53871773782257,220.72402224028178,215.27282171763258,237.58232420677083,7,1,4.0
64,192.04499038876133,230.03936805071055,186.31746744230836,222.0452301066915,189.531693158041,220.74808059505074,215.24499914872382,237.5747540451326,7,1,4.4
65,191.16985039055848,229.082650428211,185.33097895271743,220.86430558191046,189.53844250095224,220.72371021037708,215.27282171763258,237.58232420677083,7,1,4.800000000000001
66,190.109971239722,227.86764579301115,185.03729214621742,220.5029580106363,189.53844250095224,220.72371021037708,215.27282171763258,237.58232420677083,7,1,5.2
67,188.88922881105302,226.43181251871025,184.8031393134661,220.2215739819888,189.53844250095224,220.72371021037708,215.27282171763258,237.58232420677083,7,1,5.6
68,187.81048416940143,225.16203611727306,184.69484220666396,220.0923480660602,189.53844250095224,220.72371021037708,215.27282171763258,237.58232420677083,7,1,6.0
69,186.92381726043388,224.1259438027542,184.64202917228363,220.0298878977949,189.53844250095224,220.72371021037708,215.27282171763258,237.58232420677083,7,1,6.4
70,185.96254780823804,222.99767099576061,183.68110770071283,218.94194338950572,189.531693158041,220.74808059505074,215.24499914872382,237.5747540451326,7,1,6.800000000000001
71,185.09976150241775,221.95906381921506,184.5698534337016,219.94591054862633,189.53844250095224,220.72371021037708,215.27282171763258,237.58232420677083,7,1,7.2
72,184.44975036484573,221.1891107183462,184.55775502505824,219.93192680944918,189.53844250095224,220.72371021037708,215.27282171763258,237.58232420677083,7,1,7.6000000000000005
73,183.79436212596633,220.42501936219443,184.27091023602324,219.61847513911445,189.53169315804095,220.74808059505085,215.24499914872385,237.5747540451326,7,1,8.0
74,182.16938841422768,218.49367577420995,183.1600463705219,218.32577206411318,189.53844250095224,220.72371021037708,215.27282171763258,237.58232420677083,7,1,10.0
75,182.2270349775895,218.55044614721245,183.1600463705219,218.32577206411318,189.53844250095224,220.72371021037708,215.27282171763258,237.58232420677083,7,1,15.0
76,225.110708182012,240.77257194081778,223.1838846488254,239.01437086081103,220.17542945385085,236.32880142541464,227.35786687064905,242.93481267912034,9,2,0.0
77,224.01356553247194,239.12490842227876,222.39877060500442,237.638932971498,220.764790679155,236.1691305648997,230.08999224520235,244.60856488195364,9,2,0.1
78,222.31896911214804,237.45511161369018,221.2849142095813,236.5026199860566,220.98054992562615,236.21720326571528,232.11198264867218,246.22822181129183,9,2,0.2
79,221.02035745014288,236.23830707092978,220.4155490201113,235.64690691109712,220.73312373386722,235.8755353754407,233.6998418461123,247.44797157037453,9,2,0.30000000000000004
80,220.0125169433039,235.29968569306357,219.7313644391311,235.01761485072586,221.36274349991402,236.48562299025943,235.27980190742068,248.91002938867848,9,2,0.4
81,219.1585564098675,234.4557784978942,219.32232350912486,234.57550946872897,221.9044347882555,236.8904348849292,236.0019973122306,249.4716910402575,9,2,0.5
82,218.50181588256055,233.77812995384352,218.91346527506002,234.112770246191,222.48869062041672,237.32164056904378,235.93512333321286,249.34641273778257,9,2,0.6000000000000001
83,217.71438898262213,232.94215285439412,218.8027668414191,233.91421461438028,222.83691043770204,237.5366188649975,234.98061689755488,248.42774064361643,9,2,0.7000000000000001
84,217.34395657162665,232.5004287049141,218.80475642059483,233.81003866813333,223.37838360114634,237.92342937649508,233.17388998824583,246.70879378281754,9,2,0.8
85,215.85552028637613,231.57361417365,218.40744171754753,233.4042820030899,223.5239443351276,237.92346562610447,230.61797864703857,244.22473056015417,9,2,0.9
86,200.46445024760632,229.52469199607052,203.26976561608782,231.42997243570676,211.77963618627678,236.33280840504452,225.65502558773335,240.7479153253492,9,2,1.0
