twc,06H,06V,10H,10V,19H,19V,37H,37V
0.52,192.18138675349326,214.01123630022303,192.82963495755658,213.5252341084189,195.6268686195354,216.0057444403033,206.83410058785907,227.23891336111117
0.6000000000000001,194.0829963958061,215.5769865509276,195.04969517279915,215.6542720877191,197.91689905101205,218.33142904381134,208.7956276987089,229.20481450242823
0.6799999999999999,196.13054890107074,217.38748680495044,197.18203053838974,217.74988300576055,199.25937480916772,219.7308202323054,210.53382575395685,230.94053193588505
0.76,197.87005270026984,219.06707716370934,198.983737137555,219.66730942911548,201.1116838837917,221.74157014229215,211.9256992351222,232.43091010479628
0.8400000000000001,199.90145830927207,220.99471475748595,200.9270929035108,221.63540795228226,202.96111585530372,223.63354091374694,213.29961386520955,233.8063481164515
0.9199999999999999,201.9870404803242,223.00465590042157,202.7306407723987,223.46306950126788,203.89580460522328,224.63778401081382,213.60264935422757,234.19698833166822
1.0,203.82060508566948,224.77496598061714,204.39627249681564,225.1521044538294,205.53938869466924,226.30265183242582,214.57180114457327,235.18122516114107
1.4,211.70807921252083,232.4895508169667,211.08099395607033,231.91881714584903,210.65036392066827,231.56218239243967,219.11109262355308,239.71207091147645
1.8,217.80809682373734,238.47949020888268,216.18386228531088,237.02891830800343,214.9497048544901,235.90976241302377,223.0588790924303,243.5747155172981
2.2,222.5236811330519,243.08139191737303,220.40069217001775,241.1918603745791,219.09904518726472,239.988750346224,225.73282970133795,246.23897053830646
2.6,225.59903477838813,246.02251831586227,222.95650425395866,243.65506410610809,222.0033389901868,242.96236927627314,227.76213300449282,248.36163938056615
3.0,228.87135015422786,249.18370233154147,226.27856570992003,246.87391703584075,223.72653784704005,244.55309315143916,229.53472632945645,250.1689096662413
3.4000000000000004,231.5291213592158,251.72076065510396,229.1301557672699,249.58966502810506,225.85240420674265,246.66903653376627,230.5018096281116,251.07780576472476
3.8000000000000003,233.7716413059078,253.89479367210387,231.38839350919346,251.7898052947371,227.6448077201438,248.50836202696215,231.86081279486004,252.4757052515098
4.2,235.7568980281977,255.7519107849849,233.36625092501382,253.64820370557473,229.2976496410179,250.14794311064466,232.99278519094378,253.71156149259835
4.6,237.57128961398448,257.42753207989796,235.08837822349753,255.2394647275872,230.7925559596207,251.6083679461897,234.06395232962615,254.8279866588846
5.0,239.04345901483765,258.84020180906,236.5365914877441,256.60730308619674,232.07803213773298,252.90246769724675,235.0318788011601,255.83391128232293
6.666666666666667,243.86602158041538,263.0406314349048,240.68629382834177,260.1609833032768,236.39290122542803,256.9891768647403,238.07492174923243,259.08724615999205
8.333333333333334,246.47192524401524,265.03462472801056,243.11052789197404,261.89406349142445,238.76018691634445,258.9768318112868,240.15705916555603,261.23159010488973
10.0,247.22520241249202,265.13802220165815,244.2416613936677,262.30073028704726,240.14131263816353,259.9056441760785,241.16148732716232,262.1992279059794
11.666666666666668,247.20735786541428,264.4741478079956,244.37297909613196,261.7020146910309,240.76109485853465,260.0001146430369,241.68743990753148,262.601098527583
13.333333333333334,246.45012173504347,263.0778502060339,243.56861699884743,260.1736366714275,240.74603760630572,259.4265509981023,242.03564223268555,262.7834285450301
15.0,245.05555385946644,261.0640583325009,242.36842934185412,258.28731592996127,240.19999066478698,258.3214957980212,241.75671635119207,262.2677774377036
16.666666666666668,243.2717347517401,258.6925586100535,240.58901982762873,255.86210840656145,239.02214188695376,256.5844278431523,241.1753804447483,261.4147793119895
18.333333333333336,241.20692050341142,256.0696620101124,238.52147736987803,253.1844766863944,237.74353449196676,254.77509577614177,240.33714109801673,260.281476427056
20.0,238.94057579652747,253.27654650793122,236.1365305434876,250.2318974845642,236.03422455045109,252.5490143959997,239.27716254964525,258.9171271376467
