dry_density,06H,06V,10H,10V,19H,19V,37H,37V
180,86.02458174020917,147.8220035127153,97.81361021346699,145.79373591655772,118.03063514044028,151.3965681684262,145.17389221616995,173.097880183478
190,86.81273694030212,148.88617385280952,98.57722243840969,146.9856898152458,118.86289891961563,152.6662545540574,145.98287800128702,174.4513653119249
200,87.59396166002055,150.01049750631182,99.34291468037615,148.22650767494116,119.69970989583571,153.98120059737022,146.7929127002576,175.83963379200216
210,88.36987975663422,151.193534744294,100.11126262224244,149.5170180558165,120.54089889445945,155.3435114381798,147.60306598716184,177.26360311612132
220,89.14234832112935,152.43376101681258,100.93788924785888,150.7940302293703,121.45194426422765,156.6821758399974,148.41241367848323,178.7240688624934
230,89.91344666715773,153.72957940410436,101.85811677339349,152.02095544216888,122.38306343102643,158.05407911455166,149.23911179005702,180.2022152633749
240,90.68546892037529,155.0793545634864,102.7772182611762,153.3106866802348,123.31876222168316,159.4777382787712,150.0909944793656,181.68850587444697
250,91.46091216934437,156.48144995859,103.69519801842115,154.6648588663419,124.25806183199556,160.95555887953975,150.94183307638545,183.21186526058304
260,92.35301300736353,157.8113297895262,104.61227519514149,156.0848815194637,125.19986872226977,162.48959786559908,151.78973928377954,184.7722739546944
270,93.33490077934368,159.1100981955406,105.52890749526664,157.57191900323136,126.14365930244047,164.08237445483104,152.63343427296653,186.37017930973903
280,94.30344194315884,160.49560137563284,106.44576158391206,159.1268020830463,127.11815531078,165.70337022585528,153.4716796271255,188.0058075824519
290,95.26161663663594,161.9647230383225,107.39884053349144,160.71051180700718,128.1554955751424,167.3192864034426,154.31465640839826,189.66775355343106
300,96.21287538730577,163.51408455806438,108.4821219787849,162.22052773452398,129.1934117056066,168.9989464688962,155.1912702497044,191.32588660345812
310,97.16111788282237,165.14011990587164,109.55935720779478,163.81570109749822,130.23025923214223,170.7447747338301,156.05962413935282,193.0189559219018
320,98.11063380660575,166.83912782615326,110.63058618445909,165.4975048672468,131.2642855388527,172.5585334521096,156.9197870527159,194.7486829863492
330,99.20579078686525,168.45651709385817,111.69622690373613,167.26673684255897,132.29456416913263,174.44239903928386,157.7694788069427,196.5136267298479
340,100.37351121283969,170.08482075516312,112.7573752718009,169.12385192257014,133.39141568085302,176.32085853358782,158.60735089576656,198.3129661280536
350,101.52095024096047,171.8267879623905,113.88081990462666,170.9956771090544,134.51256311827106,178.23953183203167,159.4579476742343,200.1203709392199
360,102.65392922583719,173.67548531203283,115.1134312676148,172.83509463286293,135.62532777565485,180.23253923247285,160.3268627478744,201.92817640575777
370,103.77918513741416,175.62364522337757,116.33116968487022,174.7824783488238,136.72725951160734,182.30051900964318,161.18102732055254,203.76615287150568
380,104.92273460760879,177.64358580270675,117.53450593735619,176.83728078684746,137.81708159156162,184.44434395565912,162.018979997052,205.63288232984354
390,106.2873227060479,179.52741244470454,118.72504893991355,178.99801869530097,138.97348952043774,186.57911510720538,162.8383967754032,207.5252743644287
400,107.61729228304442,181.55575579431158,119.9922697924508,181.16692199361253,140.1447211307316,188.7572894734644,163.6404929225647,209.44378517624827
410,108.92253727646411,183.7154777508149,121.34908178889961,183.33359433767492,141.29582967015756,191.01134498813119,164.48517881969238,211.3259988024052
420,110.21425365753248,185.99244037666747,122.67808851932914,185.62488469941727,142.42530557578684,193.34040889196515,165.3102044345238,213.22826149725628
430,111.63655644110241,188.23547477847097,123.98161963330257,188.0359704549985,143.55623755056888,195.7156627890168,166.11375131510871,215.14901780102008
440,113.14309391621819,190.50386521286282,125.30685033425226,190.5130107161401,144.7568835646133,198.0632070338556,166.89514634557494,217.08564471750745
450,114.60868881720089,192.92581036901345,126.76702889905758,192.93485974352248,145.92650517062262,200.4809737124247,167.65414155889823,219.03519126244277
460,116.05124104652445,195.47683207521004,128.18342079051433,195.48921743931595,147.06311190132516,202.96394892591715,168.4413811200704,220.9445176696764
470,117.65356229387199,197.96559573294113,129.56099068478568,198.16393436547375,148.1734938664811,205.50069307715256,169.21977310807551,222.8507128948742
480,119.2832904649204,200.53428230636868,131.0090098715904,200.8377578642576,149.3697008073619,207.9719916119558,169.9734045091904,224.7627611262419
490,120.86790841259669,203.24892849070858,132.51541161101707,203.51954904898508,150.52406876822278,210.49895993267884,170.70267848507152,226.67747722462087
500,122.51711818430513,205.98782213303159,133.96545140991228,206.3201279740411,151.6367139315543,213.07323776226065,171.40861457885023,228.59139278700536
510,124.27615120934982,208.70324657034027,135.40001952535968,209.1871230569758,152.73530633648633,215.6626225858856,172.1489969151703,230.44868973251738
520,125.97664226283192,211.55944977776022,136.9649353164915,211.9615411291965,153.8975177226138,218.18252855660614,172.87353559753063,232.2894263714172
530,127.7431122910149,214.4152574384637,138.45988223598226,214.84005865751962,155.01173269344113,220.73587244177452,173.57509766539567,234.12476305025314
540,129.58495395305508,217.25161872316974,139.92335168649151,217.77248373752795,156.08248561381214,223.3109777756786,174.2543587203108,235.94930295178912
550,131.3775366123107,220.1895249048488,141.51480461001722,220.58203585032837,157.19090638451834,225.82457662480869,174.9261247123868,237.74816847408084
560,133.2897658956586,223.03003757610762,143.0344087851885,223.46584212592214,158.30595736475135,228.29866163556494,175.63298886675156,239.478615102363
570,135.1876069413329,225.90603179309159,144.56662556224694,226.3272471292927,159.37712820479726,230.77770192501765,176.31748366670823,241.19298125917703
580,137.12037171770243,228.75058022177737,146.16603487038583,229.09340812109448,160.44401312829424,233.22217665843,176.98179656355632,242.8854961862574
590,139.10876283451734,231.50394210633908,147.71384016226696,231.88885068402888,161.5680139519736,235.5611240839624,177.63448519678755,244.55672371596214
600,141.08998552614747,234.24451301427973,149.34297164021822,234.55547896958126,162.65392173116533,237.88952090540366,178.32779710456754,246.1484512508342
610,143.13641476586753,236.79602197888923,150.9650477704434,237.18415791381403,163.73059696524638,240.17909896733934,179.01460994816594,247.70609432365734
620,145.16358390407154,239.28730323156586,152.61516102860116,239.74009155326678,164.87959223646004,242.33455412415776,179.68915357920898,249.23430015256463
630,147.19866788655992,241.50482472950273,154.31655697946132,242.16617616899492,166.00400335082776,244.46344812801468,180.36332354634158,250.73396058361223
640,149.19066280449078,243.5355402426747,156.03010784352622,244.55020304114242,167.1488417477803,246.52530725089153,181.08017055561507,252.14598672551412
650,151.26817726701282,245.3772496734392,157.81052897130056,246.74569593509568,168.34791031408542,248.4602904085288,181.79858560769267,253.51936181718204
660,153.5433599484514,247.4831698094953,159.61627604739624,248.89302430239547,169.54997763652239,250.3545256471193,182.51963261386652,254.8573296930404
670,155.83492358327842,249.45321086163102,161.4625091694313,250.83460003451864,170.8062001181252,252.13417346741366,183.26557569865764,256.14669538461396
680,158.20180263933085,251.33485940188612,163.34646341377547,252.68636175493813,172.0947984205401,253.8242468939689,184.0449674259805,257.351386649326
690,160.54046031115485,252.99449059452428,165.21356466472957,254.28404183244976,173.43054084437412,255.45210676892086,184.83694999473704,258.5205729247654
700,162.8155524980044,254.39171504881108,167.08614769634679,255.69614867869797,174.81123342279173,256.9337759810732,185.66114355290458,259.6558738113724
710,165.15762634254716,255.71513045905638,168.82548372239296,256.7300883198418,176.25034435544868,258.37166571635214,186.51968649502552,260.6935325391728
720,167.26464344802366,256.6256717822757,170.84115644923787,257.871252841009,177.7285129814267,259.6709068625871,187.40613628357664,261.6915425308177
730,169.28296814406022,257.2781662348837,172.94347882985826,259.14437807281115,179.2715679564988,260.91148499399833,188.34270377482633,262.6581361549564
740,171.2084058535812,257.75422759321464,175.0568428416601,260.27034528971035,180.849095366333,262.0288553893308,189.30383802055408,263.5284127081267
750,172.75837522434614,257.71474036592997,177.28511618721257,261.4411795793659,182.47965287965513,263.06540767802403,190.31025227581966,264.36149919701086
760,174.1027252548331,257.3798748202973,179.31665545847133,262.21753129673806,184.11696499282522,263.95994785287985,191.38097713389774,265.1596545739118
770,175.06089807378095,256.59918340935207,181.3808613202807,262.91696197844976,185.75985688262367,264.71384833801267,192.45884138051082,265.86255958049503
780,175.638231217961,255.42696588245872,183.2136254030845,263.2735564021853,187.30315963908038,265.207203799261,193.6143314313668,266.5489901750885
790,175.77333254444855,253.7412866915299,185.01858967474203,263.5851542298654,188.75354585561638,265.3843370699704,194.80150313165018,267.1672011275085
800,175.4532638635461,251.6610409730589,186.40074660240433,263.27750550941136,190.67681905655024,266.17319847708546,196.02978363863554,267.7386831576958
810,174.6796535523458,249.164168094728,187.4705045781398,262.7025728389863,192.45362672914266,266.64206999655994,197.33343461974326,268.28167335816
820,173.70780926688371,246.64249080143955,188.13853560145316,261.6857733865498,194.54402423033858,267.60024134434724,198.61908363336892,268.73646812783596
830,172.08162541230763,243.46113501129548,188.16790850448737,260.03328343579614,196.02758521871365,267.52472694369385,199.98148151402992,269.1584777153044
840,170.00729292869403,239.87800759898204,187.40996944146266,257.5973588279488,197.74338272643254,267.8429385270246,201.25357995333428,269.4108347343799
850,167.70526680027174,236.2182258139333,185.89198321661843,254.45445717924838,199.20232830933313,267.8285675071749,202.39998874438658,269.3827107398604
860,164.9510487762706,232.1997393208492,183.41526374379583,250.4945100799926,199.7873859256657,266.7380559943099,203.6091858079571,269.3520818483156
870,162.2511910361841,228.49939832907646,179.9823013765457,245.7235280551548,199.86861536521093,265.3525837343137,205.2406815889396,269.8550286925828
880,159.07480957383405,224.32972272696148,175.6976330140786,240.40346515828784,198.0518043540476,261.9546095826282,206.84141620686745,270.29259622167325
890,155.613917317421,219.95464492881436,169.9273037238278,233.6292117297338,193.83840774751164,256.4284356096515,207.44316654179508,269.4443138020881
900,152.08136518395216,215.65424725189382,163.18880195157124,226.18637149214985,185.3922623889136,246.86259378201314,207.2507860614723,268.1421780743412
910,148.39746822042596,211.32449776321806,155.0957258882693,217.61192990635942,171.1901263017175,232.22134397296588,198.78829118855796,258.7634138444249
