,06H,06V,10H,10V,19H,19V,37H,37V,weight,drysp
19,185.12214017945192,217.71863571888017,186.85397924551964,216.91909136183182,193.0031001125481,218.01128039126627,211.3048853710709,230.96727943270082,3,19
20,186.89518954020005,219.10690019369002,188.44944478866043,218.30787643033966,194.1047088625191,219.1738948753521,211.7932975988857,231.78967314744486,61,20
21,181.34627166236558,219.66057494611698,182.3663816252684,216.5481680707703,191.78445160686263,219.90059436835799,211.981008116316,235.07859175235305,22,21
22,183.4021398428625,215.36126781500874,188.76712991350408,217.7157716217211,197.03680147966332,220.55816449827222,211.58801131490662,233.22668890623467,12,22
23,182.61961799251682,216.90030265376336,187.9300134200903,221.23079000246247,194.35254933547984,223.77446287867727,213.05230529533821,236.46947410742342,20,23
24,186.32563570149662,222.54246689272804,186.57743695418787,220.3142204075064,193.7011834898842,223.4713927207798,212.85012805626576,237.0566207062418,15,24
25,182.86821447746496,219.66748796570064,183.83856616537707,217.8778872659793,192.05769792959146,221.87867334122424,212.04316858431713,235.9012923997275,5,25
26,184.243713959858,218.64622423461927,185.41157488606768,218.2259363093489,193.18036972885608,223.10310331829723,210.150713519042,236.62296466096947,9,26
27,184.66459374149017,219.0101119572325,185.41248170616652,218.21851741184767,192.74718704509613,222.62240218100382,210.15071346294,236.62296460113618,18,27
28,184.2437138969147,218.64622416103205,185.41157477231445,218.22593617893227,193.18036964119716,223.10310321663627,210.15071346293996,236.62296460113606,6,28
29,184.2437138969147,218.64622416103205,185.41157477231445,218.22593617893227,193.18036964119716,223.10310321663627,210.15071346293996,236.62296460113606,49,29
30,186.38931589134606,217.77390738807034,187.08327790356034,215.76397033789377,195.147108386483,220.4199185210142,209.71971210899164,234.4770825832357,3,30
31,181.321395121954,219.45611436300283,186.15200839457276,221.12341586295668,194.63641889266682,222.89837658639766,210.7041318451763,233.35472491908743,22,31
32,181.34662963360168,219.48006962223837,186.15935654930286,221.13190614448618,194.63641889266682,222.89837658639766,210.7041318451763,233.35472491908743,49,32
33,188.18008158671572,217.74885726642205,191.75152519627392,220.16638085201703,198.30272665812814,224.34361331855894,210.67205800049055,236.1235328864616,3,33
34,187.8329946278469,218.2495084011103,189.3003933286037,211.91687081682372,195.26311516822665,217.79120126345768,210.9228166744269,234.31428957025008,43,34
35,187.14301575756033,221.7440223263831,188.245136458102,220.4932283233574,195.6649638814602,223.67897691285708,208.5155548042383,234.1622808001554,8,35
36,182.26214964757975,219.6723088259277,187.48838408447608,217.59858674075056,191.90738351635864,216.42208520562627,209.85858490433012,230.07173361524696,12,36
37,190.13603174343336,219.64185304603913,191.56839584330802,214.15476134050044,196.39306330961,219.16752823009253,211.14541282431034,234.84613239375076,18,37
38,186.5515316750212,217.8061505618,189.8375019625517,212.6603202942133,194.3764878636768,216.9771845116818,210.1356090743294,233.62212907288355,17,38
39,189.67302378894686,219.73425691917853,192.8500879612429,215.43486733894275,196.52766906348734,219.1228996619283,210.92059667663702,234.42836016837973,70,39
40,185.71391346421544,220.35252766972985,187.58367910582515,220.34043550865292,196.1458581998496,225.4204907539232,208.06787800159537,235.76789234127287,8,40
41,187.75261373373493,222.18630032834864,187.40944432341996,220.1265747210031,194.36704751272336,224.138140531098,207.52865496271784,235.28092649822463,45,41
42,186.37632425730362,220.50877412992253,185.18747560707678,217.57594672565824,192.52616007245763,222.02278973624544,206.48551355624988,234.20453368085595,4,42
43,183.9275783162683,217.3907699466778,186.64547232726068,217.87085830790406,194.9620133291915,222.76581545482827,208.320518153314,233.57960599971588,5,43
