dry_density,06H,06V,10H,10V,19H,19V,37H,37V
420,240.20808256021084,267.29576063772265,248.01170562487383,271.54391253734855,252.30966526386752,272.41972059116256,255.16173626979727,272.6066680457413
430,240.27405216420857,267.39879446484105,248.16741851637786,271.6546357255274,252.40884012772545,272.46702676809264,255.18953030054797,272.6174033884822
440,240.24802461908493,267.4598961481696,248.30225807188393,271.74192544475756,252.32630423393647,272.4080825865284,255.24920059142195,272.6455607363351
450,240.42208570492423,267.6565321821673,248.1723845174172,271.67276800494705,252.34758092465432,272.41549474599765,255.33244039345382,272.6846362087818
460,240.74047867134774,267.9387771718918,248.2161914742059,271.71824694467296,252.44750234222175,272.4680845787982,255.3101436046375,272.6627676592312
470,240.76325195407964,268.0212335937031,248.38751236862305,271.83705419673674,252.58971277783886,272.5405593912157,255.2973099877528,272.64814058005595
480,240.8233809063687,268.1448512808851,248.41927752879704,271.8604551401305,252.50719870251075,272.4792705151545,255.32352720097433,272.6566067253245
490,241.08409381294754,268.3965939759669,248.3716007613916,271.84551892911776,252.53011791830966,272.4851670178089,255.37928436616457,272.6806462711287
500,241.28141487678744,268.59390997264626,248.48666552771985,271.93136123712685,252.63206265608773,272.5362334983664,255.46280334825684,272.72000354247115
510,241.29987616447156,268.68700086222765,248.65337937244752,272.03881297198467,252.7377614048873,272.58445492813496,255.43998767986528,272.6970320780334
520,241.55259128326276,268.9318274274391,248.5620286348388,271.9912559399902,252.68688326613264,272.5414487621282,255.43517082041052,272.6864342838254
530,241.74081674852152,269.1209687104355,248.65383823415598,272.0600400022022,252.734306135345,272.5591562335088,255.46640600436368,272.69578520164964
540,241.81253874383225,269.24445479233077,248.83410377567645,272.1735402709473,252.8558023967819,272.6182676928943,255.53003012458765,272.72405385466897
550,242.11679514507193,269.5122635924353,248.75652943168527,272.1306665030428,252.8771917088402,272.6138750552034,255.59209806237126,272.7496372830749
560,242.19331380332946,269.62280791589114,248.86377151308986,272.2034037137058,252.88026760214453,272.6024236190873,255.56173626359669,272.721448930827
570,242.3903470530278,269.8164441200205,248.97626406975803,272.26943308491485,252.96987932480275,272.64188335855346,255.5759181165641,272.72126193919263
580,242.6225508122878,270.0167495416004,248.96181204574856,272.26237005394904,253.0656725692866,272.68033000189524,255.62563472249863,272.7410933181985
590,242.7312788415382,270.1395081719155,249.11685380264893,272.355960935782,253.04227700379806,272.65021630173686,255.70440441353398,272.77623955791756
600,243.04129554743184,270.37698575464754,249.12592661282258,272.35376241610743,253.11368222152686,272.6772617743397,255.68680899075719,272.75452644980777
610,243.0919775599409,270.4399490808684,249.20552413628135,272.39871759359255,253.22984215926684,272.7266704532467,255.69287682575302,272.7487089759458
620,243.3926927569174,270.6462701264419,249.3158125882047,272.4538861326828,253.20242985452265,272.69221000612083,255.73765094662687,272.7652571573259
