thickness,twc,snowpack_index,06H,06V,10H,10V,19H,19V,37H,37V,01H,01V,thickness_dup,twc_dup,effective_permittivity_19,effective_permittivity_06
0.05,0.26,13,204.2808566301165,238.40141815669347,227.39732592735731,249.27766320335684,245.6112615153844,259.91562681978513,254.80146382736214,265.9358121141017,130.77169745226226,196.7597642534589,0.05,0.26,,
0.05,0.28,14,207.03366470762901,240.03363906935982,229.99005187942285,251.01287267562597,247.34282619859914,261.2331131776264,255.75031491836648,266.76096018949926,131.08937788402105,197.0272772322803,0.05,0.28,,
0.05,0.3,15,209.58162087117643,241.56870876481074,232.20210935140236,252.445038842403,248.58622104456217,262.06862364715664,256.52885915953516,267.4564054795438,131.39616347942584,197.2908299494585,0.05,0.3,,
0.05,0.32,16,211.9425574514267,243.01409720616672,234.27312912744046,253.88804279619134,249.85333413163752,263.091114908927,257.1689299110436,268.04523548226837,131.6923482752922,197.550391305783,0.05,0.32,,
0.05,0.34,17,214.13246559666396,244.37659393784423,236.12694678307233,255.20560219526004,250.93438694419922,263.9871781827744,257.69610828344975,268.5461506642498,131.9782201677821,197.80594479470327,0.05,0.34,,
0.05,0.36,18,216.16571069876485,245.6623761627187,237.69119087078562,256.2701407393314,251.8589043594521,264.77572199131754,257.79848933503393,268.5711208725426,132.23529836296228,198.06236504149032,0.05,0.36,,
0.05,0.38,19,218.0552202086379,246.87706986228335,239.1887406381391,257.38333273552666,252.6513948022406,265.47257239722813,258.1921886750469,268.9808238158537,132.49944636652876,198.31018365991494,0.05,0.38,,
0.05,0.4,20,219.81264760897758,248.02580458585632,240.53575835792444,258.407034953637,253.33224667734515,266.09100741540533,258.520008886761,269.33579189856465,132.75481120381352,198.55381540572304,0.05,0.4,,
0.05,0.42,21,221.44851578173402,249.1132625177487,241.74904284277702,259.3505394945831,253.71867339060384,266.3683940475708,258.7932672289571,269.64479601949466,133.0013396656503,198.7933775822427,0.05,0.42,,
0.05,0.44,22,222.54119168682047,249.65182106007805,242.84325737907457,260.22201653926504,254.23989020643637,266.88280090874997,259.02119360481555,269.91507225778827,133.23918575122107,199.0289360396454,0.05,0.44,,
0.05,0.46,23,223.96274486397834,250.6440658463934,243.8312277271498,261.0286640010766,254.69124760723827,267.345530377192,259.2113352559817,270.15260835883333,133.46854987705845,199.2605476715286,0.05,0.46,,
0.05,0.48,24,225.29438477278018,251.58466488163577,244.56130679076955,261.5398044546628,255.08283867979563,267.76348225200695,259.36987997814765,270.3623740147413,133.68964709826975,199.48826832082236,0.05,0.48,,
0.1,0.0,0,136.6877385878371,203.81481668938613,137.00350122421986,197.2624264744394,147.53222364391974,195.80173238275503,180.88581000454005,210.89836917188742,125.48816142674391,192.96485938088577,0.1,0.0,,
0.1,0.02,1,145.41177965359074,207.845701150616,151.19150029681091,204.85594200815203,167.16551598958796,208.37911587378045,198.71767778478218,224.11347175377898,126.06322147022516,193.28529921641393,0.1,0.02,,
0.1,0.04,2,153.274368126547,211.50268161825934,163.42317778607386,211.51438349516704,182.54339621328938,218.11556045790095,211.0081845190138,233.0379888732293,126.59407006182994,193.57203126445177,0.1,0.04,,
0.1,0.06,3,160.22214613309384,214.69515885430042,173.95267301666496,217.18409549161672,195.1545533179734,226.1180694475561,220.71794926994164,240.092255507567,127.15945825824642,193.94138992569341,0.1,0.06,,
0.1,0.08,4,166.65807703379505,217.69432360402857,183.08636150036418,222.31976693164006,205.22860933137318,232.3210278585937,228.43498916727955,245.72215833818657,127.67068307261441,194.22762861033183,0.1,0.08,,
0.1,0.1,5,172.74797440696574,220.73771996413117,191.3147610540403,227.1044737063408,213.82425356918108,237.8719523159906,234.59471641973818,250.24608386371298,128.1743020417544,194.5146872707041,0.1,0.1,,
0.1,0.12,6,178.3113179824333,223.52708424513912,198.47911108980352,231.26183029489408,220.50246513500016,241.99479651574705,238.99279188276813,253.24903975185782,128.66993479478782,194.8012717152758,0.1,0.12,,
0.1,0.14,7,183.41560991352412,226.1121354493148,204.72563591346514,234.8946772882319,226.70128190681703,246.367656419844,243.0001153510932,256.26902588959734,129.1573766758034,195.08662189415367,0.1,0.14,,
0.1,0.16,8,188.10750047278768,228.51615967885638,210.08402006149484,237.94098752135136,231.69847211742157,249.79447237014128,246.24465893033423,258.74975949707306,129.6366448485797,195.3703888209636,0.1,0.16,,
0.1,0.18,9,192.42604982695772,230.75591737012064,214.89839132732172,240.80082475207553,235.81855914373006,252.61684808437806,248.86793708166186,260.782275745403,130.10783763026876,195.65238422253495,0.1,0.18,,
