snowpack,06H,06V,10H,10V,19H,19V,37H,37V,twc,sp,weights
3146,182.41888167071954,254.92535686230568,192.38020543020778,254.58768817376713,206.5289495564921,257.3121249667479,219.67938430231945,260.64020237298706,15.0,104,2
3147,178.43866239730082,252.38441240109987,188.40646852306404,252.40942096250768,203.42646910989524,255.32651806903033,218.28730894374715,259.4599587381827,16.666666666666668,104,2
3148,174.99696075762856,250.81139694855324,185.53218077779323,250.30136263530252,200.5949293142732,252.9911062032127,216.8829713978545,258.1756258540123,18.333333333333336,104,2
3149,171.06368242079202,248.49442756921925,182.24987485524883,247.6238639542764,198.45242947115455,251.24593197001838,215.442384943414,256.79089332084374,20.0,104,2
3150,177.74080995777356,206.98805327725194,183.77735039151935,212.09592209059653,193.55641622804805,219.6186379339362,206.5746868376501,232.181582789772,0.0,105,44
3151,194.73458874264676,222.87109357467554,207.08165305228457,234.1237401142674,219.25903276234644,244.93164841929143,229.10576542440924,254.50794812991023,0.1,105,44
3152,205.95977162054996,233.69471406743384,218.87719526252647,245.55219103069987,229.70224675549537,255.40801252474466,235.41382297147177,260.7441987426023,0.2,105,44
3153,213.20398606818057,240.8884382209499,224.963440556486,251.6799257423255,233.46997919854056,259.3286049459067,238.10700872804136,263.51888157968034,0.30000000000000004,105,44
3154,217.98803500878293,246.1366334963832,228.4014691183011,255.5737360598241,235.52459325492455,261.6399626100943,239.08495071409376,264.62345592385714,0.4,105,44
3155,221.1099009600506,249.57072051753408,230.21274802716755,257.7493566003091,236.00094114910544,262.3554760223977,238.71959274575212,264.4001506518343,0.5,105,44
3156,223.38829093016548,252.24668796275745,231.20061662827842,259.11727589461105,236.04585519455392,262.6434501883919,238.77830759310163,264.60776816447844,0.6000000000000001,105,44
3157,224.93418286446718,254.22494825814326,231.72359240788106,260.0266868315781,236.3237977994251,263.32850615167155,238.82153319550778,264.7971397651182,0.7000000000000001,105,44
3158,225.96231804981684,255.70403965924595,231.98076375225764,260.66927345879503,236.1541209739285,263.40946157356024,238.6009067893581,264.71519386478593,0.8,105,44
3159,226.69402618525356,256.90355534586166,232.08296242568778,261.15247261884866,235.97624472424584,263.4731249190777,238.524027670738,264.77788136652623,0.9,105,44
3160,227.17048367023307,257.8522146962471,232.09316079266077,261.53792121810557,235.79776316649685,263.53094645224536,238.48384979296773,264.88075162269587,1.0,105,44
3161,227.58799227924985,260.35235496440146,231.42202494921855,262.4187707855949,235.68809830864,264.33939565515067,238.65747818330865,265.74889982781076,1.4,105,44
3162,227.11550421544416,261.82002253361514,230.64881554245912,263.022441372978,235.53922314345957,265.02789741645336,238.30309841120643,265.9417631668327,1.8,105,44
3163,226.12774838807624,262.6054003766355,230.3305326045614,264.03336601851987,234.97301552427234,265.34131362153175,237.89169830860726,266.0508058603598,2.2,105,44
3164,224.91001226418956,263.13057700729564,229.68464573654595,264.7181259626614,234.44295568825987,265.5651175377465,237.48544893631674,266.1394291340282,2.6,105,44
3165,223.68341632977175,263.49082640524216,228.92818839796766,265.1215890928009,233.91820544897524,265.7366055340925,237.0905476582308,266.21496340032,3.0,105,44
3166,222.39055737719653,263.7847524054295,227.98564648468513,265.3473540499182,233.32717628229324,265.85243302038157,236.70645738563894,266.27806312034613,3.4000000000000004,105,44
3167,221.3080045163755,264.2573289227166,227.0867817439071,265.48815210646376,232.77346961439466,265.9330639522071,236.23299903243785,266.318934574742,3.8000000000000003,105,44
3168,220.3327596629194,264.7064587090641,226.0898574201911,265.52908315906143,232.23718012810792,265.97536048025063,235.85390866800785,266.35502007323873,4.2,105,44
3169,219.1791001562726,264.9337761683539,225.09886534549634,265.50623428635197,231.64196212487838,265.96572688020024,235.48604250705841,266.3777622396203,4.6,105,44
3170,217.96160780230485,265.0198213186359,224.13768931240313,265.43647408180135,231.07912728904387,265.92573097632675,235.12581493586916,266.3866989540097,5.0,105,44
3171,212.6759686596866,264.49237693240394,219.97278417946822,264.5874224263399,228.6135948536759,265.36114037289093,233.57188208063639,266.2561717508284,6.666666666666667,105,44
3172,205.26713623431084,263.7131637005311,215.3372907431315,262.5513338113521,225.43001738501235,263.6334580678487,232.039426709714,265.8746944723229,8.333333333333334,105,44
3173,199.7301149868588,262.04163577821254,208.16901051488486,261.7071093787114,222.79964854539156,262.1939895722792,230.48969926218572,265.25757213562446,10.0,105,44
3174,194.83250079447208,260.30837478065274,204.12364925262833,260.15487932774545,220.1228031340866,260.4575086350403,228.25275724983797,263.73968973300686,11.666666666666668,105,44
3175,189.99041555729093,258.06875910418813,199.6293459981611,257.87691768964703,217.46272375037583,258.52361157145043,226.62383122777356,262.7452055380814,13.333333333333334,105,44
