thickness,lwc,snowpack_index,06H,06V,10H,10V,19H,19V,37H,37V,01H,01V,thickness_dup,lwc_dup
0.01,0.0024,12,146.08242072294593,208.64706611752194,152.7743718886172,206.22243157119192,169.37892055828766,210.12530041227666,199.59574606729538,224.87152355339208,125.59684411922667,193.41241624304197,0.01,0.0024
0.01,0.0026000000000000003,13,146.78538842284746,209.02617494252289,153.94130474705295,206.90988595737355,170.93167056098653,211.1460889490638,200.89146802007252,225.83662501514485,125.60045205780436,193.44916013042146,0.01,0.0026000000000000003
0.01,0.0028000000000000004,14,147.47707168616753,209.40165626810852,155.08634216516674,207.58674567290262,172.44918330613575,212.144700102743,202.15442091806634,226.7776293393136,125.60316600352186,193.48583703384625,0.01,0.0028000000000000004
0.01,0.003,15,148.157674649726,209.7735096725396,156.2099758387401,208.25321484841288,173.93244250539294,213.12180914189815,203.38562066072015,227.69536272082308,125.6050005062989,193.52243796392446,0.01,0.003
0.01,0.0032,16,148.82739688989682,210.14173847464923,157.31268538026706,208.90949388408984,175.38239552691746,214.07805985380574,204.58603183677616,228.59059600146495,125.60596975316518,193.55895450202485,0.01,0.0032
0.01,0.0034000000000000002,17,149.48643360697184,210.50634934211396,158.39493847438882,209.55577940699274,176.79995563380123,215.01406728337423,205.7565760940937,229.46405740325824,125.60608760005852,193.59537876362506,0.01,0.0034000000000000002
0.01,0.0036,18,150.13497579015865,210.867351946475,159.45719106692425,210.1922642431695,178.18600390265112,215.93041996486954,206.89813672991195,230.3164388416735,125.60536759879888,193.63170336482503,0.01,0.0036
0.01,0.0038,19,150.77321036676167,211.22475865750167,160.49988757953253,210.81913740626658,179.54139091868154,216.82768181498386,208.01156182882792,231.14839985511057,125.6038230201844,193.66792139160506,0.01,0.0038
0.01,0.004,20,151.40132033822377,211.57858427080046,161.5234611429431,211.43658410119306,180.86693830126896,217.70639377981246,209.09766670290995,231.96057044581585,125.60146687389252,193.70402637147117,0.01,0.004
0.01,0.0042,21,152.01948490511705,211.92884576374263,162.52833384300834,212.0447857405524,182.16344009347597,218.56707529176123,210.157235931701,232.75355333491078,125.59831192574993,193.7400122472183,0.01,0.0042
0.01,0.0044,22,152.62787958274373,212.2755620757337,163.51491697506515,212.6439199715837,183.43166403825055,219.41022557326616,211.19102513889524,233.52792585653492,125.59437071277071,193.77587335256166,0.01,0.0044
0.01,0.0046,23,153.2266763086881,212.61875390960287,164.48361130313216,213.23416071162205,184.67235275780246,220.2363248133023,212.1997625770795,234.28424160434827,125.58965555632655,193.81160438945847,0.01,0.0046
0.01,0.0048,24,153.81604354341943,212.95844355147102,165.43480732128842,213.81567819043386,185.88622484879372,221.04583523604353,213.1841505622081,235.02303189355126,125.58417857371313,193.8472004069491,0.01,0.0048
0.02,0.0,0,136.68773858783706,203.81481668938613,137.00350122421995,197.26242647443937,147.53222364391976,195.8017323827551,180.8858100045401,210.89836917188757,125.48816142674397,192.96485938088549,0.02,0.0
0.02,0.0002,1,138.44279867127693,204.65079762575917,139.98112222691896,198.91066484630494,151.75959863543937,198.5526753973001,184.8119922036347,213.8568826181352,125.55641129261359,193.0376253163322,0.02,0.0002
0.02,0.0004,2,140.1434073330229,205.45369789710932,142.82297552399788,200.46948672722772,155.66874765716764,201.06261522732342,188.15268232496445,216.31851209496654,125.6283990176309,193.10160859392983,0.02,0.0004
0.02,0.0006,3,141.80813514344965,206.28787286385062,145.43828257235322,201.78582016228094,159.4088102947913,203.46177498773105,191.32374471715772,218.65192842593274,125.69883962416003,193.16976608167462,0.02,0.0006
0.02,0.0008,4,143.42994910494184,207.08355685188772,148.15080771152992,203.3754304446354,162.9887118500768,205.75744221390417,194.33600663280646,220.8662994807322,125.76736196095969,193.23537447992328,0.02,0.0008
0.02,0.001,5,145.01316562429093,207.86640722945728,150.74202845254027,204.83828933170142,166.41670596530668,207.95602974785643,197.19926988818668,222.9697942197403,125.83419457727105,193.30097997907433,0.02,0.001
0.02,0.0012,6,146.5589504039911,208.63689126678355,153.25026208529187,206.2589365976627,169.76991001047455,210.21072533166108,199.92246528098616,224.9697435945048,125.89937233722924,193.36655946697283,0.02,0.0012
0.02,0.0014000000000000002,7,148.06838905666865,209.3951686944865,155.67885629318968,207.63948805364117,172.92252976129998,212.25058243315272,202.5137742037792,226.87276747419872,125.96292611776246,193.43208583077606,0.02,0.0014000000000000002
0.02,0.0016,8,149.5425244098625,210.14137593453063,158.03085251854242,208.98153627888533,175.9426370357339,214.20514061626864,204.98072602814338,228.68487620898694,126.02488433550442,193.49753298147974,0.02,0.0016
0.02,0.0018,9,150.9823621286585,210.87565432390713,160.30913809410382,210.2865183709876,178.83723022264266,216.0798973194278,207.3302772670656,230.4115529400838,126.08527360798172,193.56287653756831,0.02,0.0018
0.02,0.002,10,152.3888730168266,211.5981538142451,162.51647263191322,211.55578049946962,181.6125583796498,217.87932589149332,209.60458175749238,232.13393171473874,126.14411913933,193.6280938585866,0.02,0.002
0.02,0.0022,11,153.76299460464853,212.30903233121734,164.65549755474905,212.79059845006705,184.2744179960206,219.60743391962222,211.73895378366822,233.70847654996788,126.20144497883794,193.69316394973006,0.02,0.0022
0.02,0.0024,12,155.1056325136549,213.00845434248936,166.72874205169398,213.99218712384496,186.8282343547619,221.26789394552515,213.77324745109286,235.21014318905404,126.25727420834271,193.75806734503726,0.02,0.0024
0.02,0.0026000000000000003,13,156.41766172060088,213.69658942300435,168.73862809281175,215.16170628909663,189.27910538654524,222.86410308113105,215.7129766151632,236.64342090785775,126.31162908484674,193.82278599470047,0.02,0.0026000000000000003
