,06H,06V,10H,10V,19H,19V,37H,37V,weight,drysp,depth,site,season
57,229.24907451934237,258.6684756891494,232.06263146494712,261.0529165757849,236.33110857263523,264.3104670588092,235.84904697279637,262.9990646230484,7,1,1.9000000000000001,aws11,autumn
58,229.29523203878838,258.70450810754045,232.10874789880006,261.08091115594,236.2287891013736,264.1848174941256,235.6910644947724,262.82718723444873,7,1,2.0,aws11,autumn
59,228.53010993461098,258.51671111952845,231.34975583295218,260.76195598049526,235.38497617055143,263.43003875939223,235.3046168889315,262.40961843445257,7,1,2.4,aws11,autumn
60,228.74677646915825,258.64813476843545,231.42913037494722,260.7321628022931,234.7863035262865,262.73976095433284,235.13443696064604,262.2278833772053,7,1,2.8,aws11,autumn
61,228.4734456267166,258.60294485100144,231.11402986027346,260.552751287251,234.01269292139526,261.9160495552067,233.50888822205545,260.5567023371673,7,1,3.2,aws11,autumn
62,228.16462447462413,258.4868889849039,230.71296119213832,260.2441249128676,233.14505881303214,260.9776318991949,233.50888822205545,260.5567023371673,7,1,3.6,aws11,autumn
63,227.83427870631078,258.33994343959034,230.13044876280998,259.74051141147976,232.14670225312025,259.90133314423485,233.50888822205545,260.5567023371673,7,1,4.0,aws11,autumn
64,227.29500744121103,258.1206566688656,229.51737925503548,259.33226495106175,229.7265031755502,257.38827704648764,233.45344858835605,260.5006887464591,7,1,4.4,aws11,autumn
65,226.80454549812197,257.7846670823496,227.97573879785705,257.5942132553354,230.39365053829417,257.9842670281414,233.50888822205545,260.5567023371673,7,1,4.800000000000001,aws11,autumn
66,226.39955433876906,257.4993876479955,227.19676806099216,256.8455659866382,229.69412040210943,257.2021669897077,233.50888822205545,260.5567023371673,7,1,5.2,aws11,autumn
67,225.7614769230373,257.15374145170216,226.1941676946528,255.92636303657378,228.83162811030303,256.3629956165557,233.45344858835605,260.5006887464591,7,1,5.6,aws11,autumn
68,225.23164342394944,256.63520487071816,225.5771028996332,255.37994161060118,229.08554484120336,256.54083110717056,233.50888822205545,260.5567023371673,7,1,6.0,aws11,autumn
69,224.66677556144822,256.1381732042119,224.5195761744541,254.27662557722002,228.9183981220273,256.3590600153279,233.50888822205545,260.5567023371673,7,1,6.4,aws11,autumn
70,223.82791561438685,255.56083116165033,223.58355217928192,253.39632244276493,228.5454906107012,256.03899578305425,233.45344858835605,260.5006887464591,7,1,6.800000000000001,aws11,autumn
71,223.06604633768512,254.72601663202917,222.3276700703756,251.9221175652898,227.58204582142477,254.936431344544,233.50888822205545,260.5567023371673,7,1,7.2,aws11,autumn
72,222.27459008341506,253.96319008075096,221.34586261579344,250.84519149843192,227.58204582142477,254.936431344544,233.50888822205545,260.5567023371673,7,1,7.6000000000000005,aws11,autumn
73,221.41101512583535,253.27556534676742,220.70456785790972,250.24584947352162,227.3505187447527,254.76744234860058,233.45344858835605,260.5006887464591,7,1,8.0,aws11,autumn
74,216.35502137306855,247.92396117747018,217.67992100126128,246.6797662761016,227.58204582142477,254.936431344544,233.50888822205545,260.5567023371673,7,1,10.0,aws11,autumn
75,207.47172805720538,238.06869559893244,214.78850831813833,243.57050008284605,227.64943588329396,254.9709753656915,233.50888822205545,260.5567023371673,7,1,15.0,aws11,autumn
76,223.97726558874874,259.85424518979556,227.83782431629712,261.8394574566338,232.2689877613442,264.0273315959611,235.4784206973734,265.58156199227227,7,2,0.0,aws11,autumn
77,231.10304747817864,259.5767823994705,233.27042496317233,261.59309437176665,236.0390625278841,264.0803739763265,238.26008271506296,266.04295131726764,7,2,0.1,aws11,autumn
78,231.13502733802812,259.5400731708173,233.27754695610219,261.554921411887,236.30940232382991,264.27910469893885,238.7776321249737,266.48228021948796,7,2,0.2,aws11,autumn
79,231.10781941693034,259.4154849274411,233.34273907834634,261.5570198071891,236.5592384894818,264.4527905699761,239.10064996996383,266.7208691247094,7,2,0.30000000000000004,aws11,autumn
80,231.06616154293198,259.4294130628584,233.39518032236225,261.5423421299247,236.7006132679675,264.59888768669447,239.26680128862742,266.81199794008234,7,2,0.4,aws11,autumn
81,230.88986186985272,259.1349331992511,233.09047625867584,261.05528153437245,236.38031598504222,264.03547754782306,238.62347209850353,265.8550310736023,7,2,0.5,aws11,autumn
82,230.9956070399109,259.21623152402105,233.35896931788812,261.4346009420976,236.9772141473279,264.70938926941824,239.12670260870328,266.57238690903273,7,2,0.6000000000000001,aws11,autumn
83,231.10521576652022,259.2623775042664,233.45253717263478,261.48435474298526,237.22231364568304,264.90706900053414,239.01463220620187,266.43641935085424,7,2,0.7000000000000001,aws11,autumn
84,231.04113874706485,259.2028399956479,233.56944093010537,261.54090449328584,237.40430563812993,265.0271650030707,238.8101841815836,266.1975775286095,7,2,0.8,aws11,autumn
85,231.15267333852816,259.2730528076471,233.6534628590219,261.5596607994309,237.47987732513792,265.102494745991,238.55795142162725,265.912407916022,7,2,0.9,aws11,autumn
86,231.0666358376889,259.1229765063775,233.35589497375247,261.2444772992078,237.2697600551036,264.76354788307833,238.11904585941252,265.4234918483339,7,2,1.0,aws11,autumn
87,231.41333544303473,259.33880500818304,233.76963341187854,261.5777091723304,237.67667860954015,265.15745863275544,237.89738022949342,265.2042520280367,7,2,1.1,aws11,autumn
88,231.457446711235,259.365345014018,233.86346518069647,261.64771458329267,237.76826389849265,265.2142266538276,237.60701651130793,264.8931140281474,7,2,1.2000000000000002,aws11,autumn
89,231.23909391835272,259.28301823187326,233.66395732420665,261.5207653984625,237.6650746623858,265.1328372952509,237.3419340661023,264.61047763930696,7,2,1.3,aws11,autumn
90,231.53955347696993,259.38038958849046,233.9151596157363,261.61083366662416,237.73233104575803,265.09708024872043,236.97282175118664,264.2014367610037,7,2,1.4000000000000001,aws11,autumn
91,231.593317331363,259.421187857306,233.96597248332515,261.6304307428838,237.73061625825545,265.0545955132218,236.71490848386654,263.92564719135663,7,2,1.5,aws11,autumn
92,231.27705224789065,259.1905689121503,233.84092131269153,261.5121119185122,237.62177513652048,264.94879293809163,236.52971629609723,263.7382468659266,7,2,1.6,aws11,autumn
93,231.47503477176093,259.45449424161893,234.23922362722138,261.9998412679174,237.1731951963408,264.3992668207705,235.82920173836266,263.0119810587269,7,2,1.7000000000000002,aws11,autumn
94,229.19978344578462,258.6287510696655,232.06558742538283,261.0744986984756,236.59686342224407,264.5966058215219,236.0719841506892,263.2651090848988,7,2,1.8,aws11,autumn
95,229.2524414460649,258.67068272723566,232.12757022308486,261.1172783479695,236.54694289774196,264.5212584245071,235.89656722509014,263.0748178290217,7,2,1.9000000000000001,aws11,autumn
96,229.3000262223949,258.70798683838734,232.18053781017406,261.15136327155005,236.48164860260272,264.43004189516944,235.74339169231402,262.9074750181272,7,2,2.0,aws11,autumn
97,228.5442161957215,258.5296861421411,231.4574314069658,260.8697948211545,235.78404730842368,263.82660422971765,235.34473471337782,262.47477545039123,7,2,2.4,aws11,autumn
98,228.7695547582601,258.6684623814724,231.57408652197415,260.8725987401142,235.33449105452374,263.27917018982777,235.15135865721308,262.26644183551315,7,2,2.8,aws11,autumn
99,228.5077544807143,258.6351694312286,231.3047323370698,260.7405796833924,234.69341979664446,262.5954665759546,233.5265405304342,260.5888615063456,7,2,3.2,aws11,autumn
